kp_pu,period_s
2.909718792228291884e-01,2.692637254089030319e-01
2.912566278482350279e-01,2.713685216168381653e-01
2.915112178746805394e-01,2.735039774112026367e-01
2.917352688017449402e-01,2.756702343609179207e-01
2.919284268109760272e-01,2.778674841666392559e-01
2.920903533176118505e-01,2.800959564794764933e-01
2.922207236936246177e-01,2.823559404178195842e-01
2.923192181763830666e-01,2.846477995796541927e-01
2.923854930119460516e-01,2.869719928655409258e-01
2.924191727555578990e-01,2.893291077705163472e-01
2.924198340548232466e-01,2.917198763343200052e-01
2.923869579452612055e-01,2.941452237042903595e-01
2.923199081209497119e-01,2.966063030369179288e-01
2.922178783127771795e-01,2.991045724900068814e-01
2.920798344136852909e-01,3.016418499097078265e-01
2.919044297464408189e-01,3.042204277710265359e-01
2.916898993783750837e-01,3.068432027645502380e-01
2.914339009926098512e-01,3.095138720961967405e-01
2.911332857631100945e-01,3.122372103633776486e-01
2.907837770188876902e-01,3.150194695231373632e-01
2.903794330015297964e-01,3.178690343962587983e-01
2.899117816612145071e-01,3.207974534648577181e-01
2.893682691373138383e-01,3.238212764938422916e-01
2.887293037713669630e-01,3.269654725311179622e-01
2.879618306270214645e-01,3.302706452575714935e-01
2.870029608106214325e-01,3.338107290884730904e-01
2.857047328176330891e-01,3.377492920848397251e-01
2.834839696921772068e-01,3.426663989860740944e-01
